key,true_count,cms_estimate,abs_error,rel_error,is_hot
hot-0,24856,24937,81,0.003259,true
hot-1,24984,25147,163,0.006524,true
hot-2,25236,25363,127,0.005032,true
hot-3,25044,25186,142,0.005670,true
hot-4,25005,25137,132,0.005279,true
hot-5,24931,25007,76,0.003048,true
hot-6,25024,25192,168,0.006714,true
hot-7,25399,25541,142,0.005591,true
hot-8,24962,25045,83,0.003325,true
hot-9,25154,25239,85,0.003379,true
hot-10,25087,25242,155,0.006178,true
hot-11,25021,25196,175,0.006994,true
hot-12,24939,25084,145,0.005814,true
hot-13,25103,25257,154,0.006135,true
hot-14,25048,25196,148,0.005909,true
hot-15,24951,25067,116,0.004649,true
hot-16,25035,25179,144,0.005752,true
hot-17,25041,25162,121,0.004832,true
hot-18,24843,24983,140,0.005635,true
hot-19,25024,25193,169,0.006754,true
tail-0,8,129,121,15.125000,false
tail-100,11,142,131,11.909091,false
tail-1000,8,209,201,25.125000,false
tail-10000,9,145,136,15.111111,false
